x,y
0.1,-469.6183886
0.2,968.0187483
0.3,-524.8096661
0.4,23.28536535
0.5,102.1062872
0.6,-1142.93661
0.7,63.94859231
0.8,-32.97722903
0.9,1106.999849
1,-353.3380779
1.1,-325.154168
1.2,-91.64803853
1.3,1203.086804
1.4,-305.5149415
1.5,314.1416958
1.6,-195.7468761
1.7,-679.8564649
1.8,-134.4103782
1.9,32.39797449
2,-254.5303011
2.1,-470.7692144
2.2,-620.938753
2.3,-456.6875426
2.4,399.5609153
2.5,92.63187732
2.6,-987.7377186
2.7,-531.5823824
2.8,-482.0825696
2.9,382.8345227
3,-100.3624657
3.1,401.9599679
3.2,-1079.384661
3.3,-288.2009353
3.4,-1310.570936
3.5,-6.550913437
3.6,-506.1684169
3.7,776.1811289
3.8,-70.02125572
3.9,-601.2583867
4,449.3814402
4.1,1108.598832
4.2,-535.336438
4.3,1330.800401
4.4,-316.9443006
4.5,-603.333074
4.6,428.2635781
4.7,172.0366187
4.8,220.0446568
4.9,-581.4951435
5,-705.405075
5.1,980.9500689
5.2,-652.9497148
5.3,-70.11333324
5.4,52.56490904
5.5,62.99861956
5.6,456.1686792
5.7,728.9470874
5.8,138.0819125
5.9,898.3822065
6,-432.9355452
6.1,594.2761944
6.2,-98.70569737
6.3,215.6049353
6.4,1124.828577
6.5,745.6187491
6.6,-430.9571928
6.7,1065.952501
6.8,1744.422844
6.9,438.4783786
7,506.110317
7.1,927.19449
7.2,1679.695486
7.3,690.3220904
7.4,2414.218229
7.5,1384.917697
7.6,1437.506855
7.7,1327.554344
7.8,1487.289822
7.9,2283.209972
8,1802.227137
8.1,2716.613789
8.2,2127.334565
8.3,2686.633539
8.4,2092.813776
8.5,2662.875992
8.6,3148.133437
8.7,2301.050743
8.8,2804.892111
8.9,4036.4499
9,3809.451702
9.1,2598.778062
9.2,4213.379969
9.3,3797.937459
9.4,3684.069172
9.5,4579.496348
9.6,4887.727312
9.7,4918.877732
9.8,5029.466691
9.9,5579.895093
10,5174.776217
